iter	Passed	Remaining
0	1	188
1	4	209
2	6	207
3	8	195
4	10	198
5	12	198
6	15	200
7	16	192
8	18	190
9	20	188
10	23	188
11	25	188
12	28	187
13	30	185
14	32	185
15	34	181
16	36	178
17	38	176
18	40	173
19	42	170
20	43	165
21	45	161
22	47	158
23	49	155
24	50	150
25	51	147
26	53	143
27	54	140
28	55	136
29	57	134
30	59	132
31	61	129
32	62	127
33	63	124
34	64	120
35	65	116
36	66	112
37	67	110
38	68	107
39	69	104
40	70	101
41	70	98
42	71	95
43	72	92
44	73	90
45	74	88
46	75	85
47	76	83
48	77	81
49	79	79
50	79	76
51	80	74
52	81	72
53	82	70
54	82	67
55	83	65
56	84	64
57	86	62
58	86	60
59	87	58
60	88	56
61	89	55
62	90	53
63	91	51
64	92	50
65	93	48
66	94	46
67	95	45
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	102	34
75	103	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	109	23
82	110	22
83	110	21
84	111	19
85	112	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	125	0
